TITULO,TIPO
KNoT Network of Things,PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA
Hackathon KNoT,Apresentação de trabalho(Outra)
O que Falta na Internet para as Coisas?,PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA
Painel Internet das Coisas,PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA
O que falta na Internet para as coisas?,PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA
Desafios da Internet Das Coisas - Palestra de abertura,PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA
Internet das coisas na prática,PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA
Desenvolvimento de soluções IOT,PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA
Internet das Coisas,PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA
Getting the carrier and non-carrier networks ready for IoT - What are we all doing to implement IoT fully and commercially in Latin America?,PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA
IoT e o impacto nos negócios,PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA
KNoT - Uma plataforma de IoT Interoperável para o Brasil,PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA
KNoT Network of Things,PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA
SISTEMA PARA HABILITAR A COMUNICAÇÃO VIA INTERNET DE MÚLTIPLOS DISPOSITIVOS ELETRÔNICOS COM PROTOCOLOS DE REDE DISTINTOS,Produção Tecnica
Architectural reference model of devices for IoT applications,PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA
StateMVC: Estendendo o padrão MVC para uso no desenvolvimento de aplicações para dispositivos móveis,Trabalho publicado em anais de eventos(Completo)
Gluon - An Eclipse Based BREW Development Environment,Participações em eventos(Congresso)
StateMVC: Estendendo o padrão MVC para uso no desenvolvimento de aplicações para dispositivos móveis,Participações em eventos(Congresso)
Gluon - An Eclipse Based BREW Development Environment,Software(Computacional)
CMF - Framework multi-plataforma para desenvolvimento de aplicações em dispositivos móveis,Software(Computacional)
Gluon - An Eclipse Based BREW Development Environment,PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA
Mostrips,Software(Computacional)
