TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
Educational resources recommendation system based on agents and semantic web for helping students in a virtual learning environment,2012,10.1504/ijwbc.2012.048056,Inglês,International Journal of Web Based Communities (Print),XX,1477-8394,"['Olavo Holanda', 'Rafael Ferreira Leite de Mello', 'Evandro de Bastos Costa', 'Ig Ibert', 'Jean Melo', 'Willy Tiengo', 'Mário Peixoto']","['1', '1', '3', '4', '5', '6', '7']",['1'],-99
Mineração de texto em Redes Sociais aplicada à Educação a Distância,2010,,Português,Colabor@ (Curitiba),XX,1519-8529,"['Aydano P. Machado', 'Rafael Ferreira Leite de Mello', 'Ig Ibert', 'Endhe Elias', 'Patrick Brito', 'Evandro de Bastos Costa']","['1', '2', '3', '4', '5', '6']",['2'],-99
A framework for building web mining applications in the world of blogs: A case study in product sentiment analysis,2012,10.1016/j.eswa.2011.09.135,Inglês,Expert Systems with Applications,A1,0957-4174,"['Costa, Evandro', 'Rafael Ferreira Leite de Mello', 'Brito, Patrick', 'Bittencourt, Ig Ibert', 'Holanda, Olavo', 'Machado, Aydano', 'Marinho, Tarsis']","['1', '2', '3', '4', '5', '6', '7']",['2'],-99
RetriBlog: An architecture-centered framework for developing blog crawlers,2013,10.1016/j.eswa.2012.08.020,Inglês,Expert Systems with Applications,A1,0957-4174,"['Rafael Ferreira Leite de Mello', 'Fred Freitas', 'Patrick Brito', 'Jean Melo', 'Rinaldo J. Lima', 'Evandro Costa']","['1', '2', '3', '4', '5', '6']",['1'],-99
Mining Text from Student-System Interactions to Recommend Blogs and Papers,2012,,Inglês,IEEE Multidisciplinary Engineering Education Magazine,XX,1558-7908,"['Jean Melo', 'Rafael Ferreira Leite de Mello', 'Evandro de Barros Costa', 'Patrick Brito', 'João Pedro Pontes Lima Matias', 'João Pedro Pontes Lima Matias', 'Fred Freitas']","['1', '2', '3', '4', '5', '6', '7']",['2'],-99
Assessing Sentence Scoring Techniques for Extractive Text Summarization,2013,10.1016/j.eswa.2013.04.023,Inglês,Expert Systems with Applications,A1,0957-4174,"['Rafael Ferreira Leite de Mello', 'SOUZA CABRAL, LUCIANO', 'LINS, RAFAEL DUEIRE', 'DE FRANA SILVA, GABRIEL', 'FREITAS, FRED', 'CAVALCANTI, GEORGE D.C.', 'LIMA, RINALDO', 'SIMSKE, STEVEN J.', 'FAVARO, LUCIANO']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",['1'],-99
A multi-document summarization system based on statistics and linguistic treatment,2014,10.1016/j.eswa.2014.03.023,Inglês,Expert Systems with Applications,A1,0957-4174,"['Rafael Ferreira Leite de Mello', 'DE SOUZA CABRAL, LUCIANO', 'FREITAS, FREDERICO', 'LINS, RAFAEL DUEIRE', 'DE FRANÇA SILVA, GABRIEL', 'SIMSKE, STEVEN J.', 'FAVARO, LUCIANO']","['1', '2', '3', '4', '5', '6', '7']",['1'],-99
"Assessing Sentence Similarity through Lexical, Syntactic and Semantic Analysis",2016,10.1016/j.csl.2016.01.003,Inglês,Computer Speech &amp; Language (Print),B1,0885-2308,"['Rafael Ferreira Leite de Mello', 'LINS, RAFAEL DUEIRE', 'SIMSKE, STEVEN J.', 'FREITAS, FRED', 'RISS, MARCELO']","['1', '2', '3', '4', '5']",['1'],-99
Assessing shallow sentence scoring techniques and combinations for single and multi-document summarization,2016,10.1016/j.eswa.2016.08.030,Inglês,Expert Systems with Applications,A1,0957-4174,"['OLIVEIRA, HILÁRIO', 'Rafael Ferreira Leite de Mello', 'LIMA, RINALDO', 'LINS, RAFAEL DUEIRE', 'FREITAS, FRED', 'RISS, MARCELO', 'SIMSKE, STEVEN J.']","['1', '2', '3', '4', '5', '6', '7']",['2'],-99
Combining Sentence Similarities Measures to Identify Paraphrases,2017,10.1016/j.csl.2017.07.002,Inglês,COMPUTER SPEECH AND LANGUAGE,B1,0885-2308,"['Rafael Ferreira Leite de Mello', 'CAVALCANTI, GEORGE D.C.', 'Fred Freitas', 'Rafael Dueire Lins', 'Steve J. Simske', 'Marcelo Riss']","['1', '2', '3', '4', '5', '6']",['1'],-99
O Plágio em Ambiente Educacional Virtual: Uma Revisão da Literatura,2017,,Português,RENOTE. REVISTA NOVAS TECNOLOGIAS NA EDUCAÇÃO,XX,1679-1916,"['Anderson Pinheiro Cavalcanti', 'Rafael Ferreira Leite de Mello', 'Máverick André Dionísio Ferreira', 'Péricles Barbosa Cunha de Miranda', 'Vitor Berlamino Rolim', 'Sebastião Rogério da Silva Neto']","['1', '2', '3', '4', '5', '6']",['2'],-99
Utilização de Técnicas de Aprendizado de Máquina para Acompanhamento de Fóruns Educacionais,2017,10.5753/rbie.2017.25.03.112,Português,REVISTA BRASILEIRA DE INFORMÁTICA NA EDUCAÇÃO,XX,1414-5685,"['Vitor Belarmino Rolim', 'Rafael Ferreira Leite de Mello', 'COSTA, EVANDRO']","['1', '2', '3']",['2'],-99
A system based on NLP and GA to support pedagogical mediation in discussion forums,2018,,Português,REVISTA BRASILEIRA DE INFORMÁTICA NA EDUCAÇÃO,XX,1414-5685,"['Máverick André', 'Rafael Ferreira Leite de Mello', 'Cícero Garrozi', 'Vitor Belarmino Rolim', 'Anderson Pinheiro']","['1', '2', '3', '4', '5']",['2'],-99
A network-based analytic approach to uncovering the relationship between social and cognitive presences in communities of inquiry,2019,10.1016/j.iheduc.2019.05.001,Inglês,Internet and Higher Education,XX,1096-7516,"['ROLIM, VITOR', 'Rafael Ferreira Leite de Mello', 'LINS, RAFAEL DUEIRE', ""G'SEVI', DRAGAN""]","['1', '2', '3', '4']",['2'],5.284
Uma Abordagem Multi-objetivo para Seleção de Caminhos de Aprendizagem para Grupo de Usuários,2019,,Português,Revista Brasileira de Informática na Educação (RBIE),XX,2317-6121,"['Péricles B. C. de Miranda', 'Rafael Ferreira Leite de Mello', 'Mayara S. O. Castro', 'Giuseppe F. Neto', 'Samuel J. Souza', 'Lucas A. Santos', 'Lizandra L. S. B. Silva']","['1', '2', '3', '4', '5', '6', '7']",['2'],-99
Off-Topic Essay Detection: A comparative study on the Portuguese language,2019,10.5753/RBIE.2019.27.03.176,Português,Revista Brasileira de Informática na Educação (RBIE),XX,2317-6121,"['Guilherme Passero', 'Rafael Ferreira Leite de Mello', 'Rudimar Luís Scaranto Dazzi']","['1', '2', '3']",['2'],-99
Text mining in education,2019,10.1002/widm.1332,Inglês,Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,XX,1942-4787,"['Rafael Ferreira Leite de Mello', 'ANDRÉ, MÁVERICK', 'PINHEIRO, ANDERSON', 'Evandro de Barros Costa', 'ROMERO, CRISTOBAL']","['1', '2', '3', '4', '5']",['1'],-99
Um sistema baseado em PLN e AG para apoiar a mediação pedagógica em fóruns de discussão,2018,10.5753/rbie.2018.26.03.61,Português,Revista Brasileira de Informática na Educação (RBIE),XX,2317-6121,"['Máverick André Dionísio Ferreira', 'Rafael Ferreira Leite de Mello', 'Cícero Garrozi', 'Vitor Berlamino Rolim', 'Anderson Pinheiro Cavalcanti']","['1', '2', '3', '4', '5']",['2'],-99
A multi-objective optimization approach for the group formation problem,2020,10.1016/j.eswa.2020.113828,Inglês,EXPERT SYSTEMS WITH APPLICATIONS,A1,0957-4174,"['MIRANDA, PÉRICLES B.C.', 'Rafael Ferreira Leite de Mello', 'NASCIMENTO, ANDRÉ C.A.']","['1', '2', '3']",['2'],-99
Avaliação de um Modelo de Maturidade para Adoção de Learning Analytics em Instituições de Ensino Superio,2020,10.17398/1695-288x.19.2.101,Português,REVISTA LATINOAMERICANA DE TECNOLOGÍA EDUCATIVA,XX,1695-288X,"['SOARES XAVIER FREITAS, ELYDA LAISA', 'DA FONSECA DE SOUZA, FERNANDO', 'CARDOSO GARCIA, VINICIUS', 'PONTUAL DA ROCHA FALCÃO, TACIANA', 'MOREIRA MARQUES, ELAINE CRISTINA', 'Rafael Ferreira Leite de Mello']","['1', '2', '3', '4', '5', '6']",['6'],-99
Applications of learning analytics in Latin America,2020,10.1111/bjet.12978,Inglês,British Journal of Educational Technology,XX,1467-8535,"['PONTUAL FALCÃO, TACIANA', 'Rafael Ferreira Leite de Mello', 'LINS RODRIGUES, RODRIGO']","['1', '2', '3']",['2'],2.588
Automatic Content Analysis of Online Discussions for Cognitive Presence: A Study of the Generalizability across Educational Contexts,2021,10.1109/TLT.2021.3083178,Português,IEEE Transactions on Learning Technologies,XX,1939-1382,"['NETO, VALTER', 'ROLIM, VITOR', 'CAVALCANTI, ANDERSON PINHEIRO', 'DUEIRE LINS, RAFAEL', 'GASEVIC, DRAGAN', 'Rafael Ferreira Leite de Mello']","['1', '2', '3', '4', '5', '6']",['6'],2.315
ImageDataset2Vec: An image dataset embedding for algorithm selection,2021,10.1016/j.eswa.2021.115053,Inglês,EXPERT SYSTEMS WITH APPLICATIONS,A1,0957-4174,"['DIAS, LUCAS V.', 'MIRANDA, PÉRICLES B.C.', 'NASCIMENTO, ANDRÉ C.A.', 'CORDEIRO, FILIPE R.', 'Rafael Ferreira Leite de Mello', 'PRUDÊNCIO, RICARDO B.C.']","['1', '2', '3', '4', '5', '6']",['5'],-99
