TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK,ID,FULL_NAME,LAST_NAME,CITADO,CITY,STATE,RESUME,UPDATE,ADDRESS_ENTERP,ORCID
SIX WEEKS TO MARS: DESENVOLVIMENTO DE UM COMPANHEIRO ROBÓTICO AFETIVO DE BRINQUEDO,2019,Português,Atena Editora,"['Marcello Caldas Bressan', 'Barros, Helda Oliveira', 'Arcoverde Junior, José Carlos Porto', 'Araújo, Luiz Francisco Alves de', 'Correia, Walter Franklin Marques']","['1', '2', '3', '4', '5']",['1'],9180009742540735,Marcello Caldas Bressan,Bressan,"BRESSAN, M. C.;Bressan, Marcello Caldas;Bressan, Marcello C.;BRESSAN, Marcello Caldas;CALDAS BRESSAN, MARCELLO",Jaboatão dos Guararapes,PE,"Marcello Bressan é Consultor de Qualificação no CESAR, e é um dos futuristas fundadores da Futuring Today. É fotógrafo formado na Spéos - Paris Photographic Institute, graduado em Comunicação Social - Publicidade e Propaganda pela Faculdades Integradas AESO Barros Melo, com especialização em Administração de Marketing pela Universidade de Pernambuco (UPE) e Mestre pelo Mestrado Profissional em Design do CESAR, onde também é professor.",25-10-2022,Centro de Estudos e Sistemas Avançados do Recife,https://orcid.org/0000-0002-2749-3154
What is the Effect of a Dominant Code in an Epistemic Network Analysis?,2019,Português,Springer International Publishing,"['Rafael Ferreira Leite de Mello', 'Ga¿evi¿, Dragan']","['1', '2']",['1'],6190254569597745,Rafael Ferreira Leite de Mello,Mello,"Rafael Ferreira;Ferreira, Rafael;Rafael Mello;RAFAEL MELLO;MELLO, RAFAEL FE;FERREIRA'MELLO, RAFAEL;MELLO, RAFAEL FERREIRA;Ferreira Mello, Rafael;Rafael Ferreira Mello;MELLO, RAFAEL FERREIRA LEITE DE;MELLO, RAFAEL;FERREIRAMELLO, RAFAEL;MELLO, RAFAEL F. L.",Arapiraca,AL,"Rafael Ferreira Mello é doutor em ciência da computação com interesses de pesquisa que abrangem processamento de linguagem natural, learning analytics e tecnologia educacional. Ele é professor na Universidade Federal Rural de Pernambuco e no Cesar School, no Brasil, onde é um dos coordenadores do Laboratório de Inteligência Artificial (https://aiboxlab.org/), que desenvolve várias iniciativas relacionadas a learning analytics (LA). Dr. Mello realizou pós-doutorado na Escola de Informática da Universidade de Edimburgo em 2018, onde continua a ter colaborações. Ele trabalha em vários projetos de pesquisa multinacionais, que envolvem parceiros acadêmicos e empresas na Europa, Austrália, Estados Unidos e América Latina. A experiência anterior do Dr. Mello também inclui um projeto de pesquisa financiado pela Hewlett-Packard, onde atuou como líder técnico. Um tema-chave de sua pesquisa recente tem sido o uso do processamento de linguagem natural aplicados como educação e temas mais focados em análise de textos como sumarização e classificação.",08-01-2023,Universidade Federal Rural de Pernambuco,https://orcid.org/0000-0003-3548-9670
Ergonomic Evaluation of Usability with Users &amp;#45; Application of the Technique of Cooperative Evaluation,2013,Português,Springer Berlin Heidelberg,"['Marcelo Penha', 'Correia, Walter', 'Soares, Marcelo', 'Fabio Ferreira da Costa Campos', 'Barros, Marina']","['1', '2', '3', '4', '5']",['1'],7163984389899288,Marcelo Penha,Penha,"PENHA, M.;PENHA, Marcelo;Penha, Marcelo;Penha, M.;PENHA, MARCELO;Marcelo Penha;MARCELO PENHA",São Paulo,SP,"Mestre em Design pela UFPE (2012), Especialista (Lato Sensu) em Educação a Distância pelo SENAC (2008) e Bacharel em Desenho Industrial com Habilitação em Projeto do Produto pela UFPE (1998). Atuou como Pesquisador na área de Acessibilidade Móvel no Projeto CIn/Samsung (2015-2020) e Professor nos cursos de Design Gráfico, Design de Moda, Publicidade e Propaganda e Jornalismo na Faculdade IBRATEC, UNIFAVIP e UniFG. Atualmente é Professor do Bacharelado em Design e do Mestrado Profissional em Design da CESAR School.",21-12-2022,CESAR School,https://orcid.org/0000-0003-4438-1709
Usability Recommendations for a Learning Management Systems (LMS) - A Case Study with the LMS of IFPE,2019,Português,Springer International Publishing,"['Marcelo Penha', 'Correia, Walter Franklin Marques']","['1', '2']",['1'],7163984389899288,Marcelo Penha,Penha,"PENHA, M.;PENHA, Marcelo;Penha, Marcelo;Penha, M.;PENHA, MARCELO;Marcelo Penha;MARCELO PENHA",São Paulo,SP,"Mestre em Design pela UFPE (2012), Especialista (Lato Sensu) em Educação a Distância pelo SENAC (2008) e Bacharel em Desenho Industrial com Habilitação em Projeto do Produto pela UFPE (1998). Atuou como Pesquisador na área de Acessibilidade Móvel no Projeto CIn/Samsung (2015-2020) e Professor nos cursos de Design Gráfico, Design de Moda, Publicidade e Propaganda e Jornalismo na Faculdade IBRATEC, UNIFAVIP e UniFG. Atualmente é Professor do Bacharelado em Design e do Mestrado Profissional em Design da CESAR School.",21-12-2022,CESAR School,https://orcid.org/0000-0003-4438-1709
Virtual Reality Immersion: An Important Tool for Diagnostic Analysis and Rehabilitation of People with Disabilities,2013,Português,Springer Berlin Heidelberg,"['Helda Oliveira Barros', 'Soares, Marcelo Márcio', 'Filho, Epitácio L. Rolim', 'Correia, Walter', 'Campos, Fábio']","['1', '2', '3', '4', '5']",['1'],7304349084200954,Helda Oliveira Barros,Barros,"BARROS, H. O.;Helda O. Barros;BARROS, Helda Oliveira;BARROS, Helda O.;Barros, Helda O.;Barros, Helda Oliveira;H.O. Barros;H.O. Barros et al;Helda Oliveira Barros;OLIVEIRA BARROS, HELDA",Rio de Janeiro,RJ,"Pesquisadora sobre Neurodesign e Realidades Mediadas por Computadores. Atualmente, coordena o Mestrado Profissional da Cesar School, onde também atua como docente da Graduação em Design. É consultora de qualificação no CESAR, atuando na área de Desenvolvimento &amp; Operações com foco em UX Design. Doutora em Design pela UFPE e Head do LIGA - Laboratório de Inovação e Geração de Artefatos.",19-09-2022,Centro de Estudos e Sistemas Avançados do Recife,https://orcid.org/0000-0003-2337-493X
Beyond the 3C Model in Collaboration Platforms: A Case Study.,2015,Inglês,De Gruyter,"['Andréa Gomes dos Santos', 'Jairo Simião Dornelas', 'Jorge Correia Neto']","['1', '2', '3']",['1'],5955327888153694,Andréa Gomes dos Santos,Santos,"SANTOS, A. G.",Canterbury,,"Mestre em Administração, com foco em Sistemas de Informação, pela Universidade Federal de Pernambuco (PROPAD) (2014), Pós-graduada em Gerenciamento de Projetos Sociais (2015) e Graduada em Engenharia da Computação pela Universidade de Pernambuco (2011). Atualmente, atua na área de projetos Educacionais na CESAR School, como gestora de projetos com ênfase em aprendizagem voltadas para o pensamento computacional e novas tecnologias, especialmente no fomento de competências e habilidades do novo século, tais aprendizados são estimulados por meio de abordagens como ABP e Experimentação &amp;quot;Hands-on?. Além da gestão de projetos, coordena ações de impacto social no CESAR. Áreas de atuação: Educação, Inovação, Projetos Sociais, Negócios Sociais e Empreendedorismo.",03-06-2022,Centro de Estudos e Sistemas Avançados do Recife,
Biônica e Biomimética no contexto da complexidade e sustentabilidade em projeto,2017,Português,Blücher,"['Rafael Rattes Lima Rocha de Aguiar', 'Rodrigo Barbosa', 'Natália Queiroz']","['1', '2', '3']",['1'],5756448621189624,Rafael Rattes Lima Rocha de Aguiar,Aguiar,"RATTES, R. A.",Recife,PE,"Doutorando em Design (UFPE), docente dos cursos de Bacharelado e Especialização (DIPAD), docente e vice-coordenador do Mestrado Profissional em Design da C.E.S.A.R. School (Recife-PE). Membro do NDE do curso de Bacharel em Design da C.E.S.A.R. School. Atuou como professor dos cursos de Design de Interiores e Arquitetura &amp; Urbanismo da Faculdade de Ciências Humanas - ESUDA, além de ter sido professor substituto do curso de Design (UFPE) no Centro Acadêmico do Agreste - Caruaru-PE. É mestre em Design pela Universidade Federal de Pernambuco. Graduado em Design pela Universidade Federal de Pernambuco. Formado no curso técnico de Design de Interiores pelo SENAC-PE.  Fundador do BI/OS, obtendo experiência com startup na área de arquitetura e design, além de ampla atuação por anos em escritórios de arquitetura na cidade do Recife e Caruaru. Atualmente tem interesse em pesquisas de Design de Produto e Arquitetura com foco em Interfaces Ubíquas, Biomimética, Metadesign, Design de Interfaces, Experiência do Usuário, IoT, Design de Interação, Emergência, Fabricação Digital e Design social.",19-09-2022,,https://orcid.org/0000-0003-0143-0371
Metadesign &amp; Natureza: Máquinas Abstratas para a Biomimética,2018,Português,Blucher,"['Rafael Rattes Lima Rocha de Aguiar', 'Leonardo Augusto Gomez Castillo']","['1', '2']",['1'],5756448621189624,Rafael Rattes Lima Rocha de Aguiar,Aguiar,"RATTES, R. A.",Recife,PE,"Doutorando em Design (UFPE), docente dos cursos de Bacharelado e Especialização (DIPAD), docente e vice-coordenador do Mestrado Profissional em Design da C.E.S.A.R. School (Recife-PE). Membro do NDE do curso de Bacharel em Design da C.E.S.A.R. School. Atuou como professor dos cursos de Design de Interiores e Arquitetura &amp; Urbanismo da Faculdade de Ciências Humanas - ESUDA, além de ter sido professor substituto do curso de Design (UFPE) no Centro Acadêmico do Agreste - Caruaru-PE. É mestre em Design pela Universidade Federal de Pernambuco. Graduado em Design pela Universidade Federal de Pernambuco. Formado no curso técnico de Design de Interiores pelo SENAC-PE.  Fundador do BI/OS, obtendo experiência com startup na área de arquitetura e design, além de ampla atuação por anos em escritórios de arquitetura na cidade do Recife e Caruaru. Atualmente tem interesse em pesquisas de Design de Produto e Arquitetura com foco em Interfaces Ubíquas, Biomimética, Metadesign, Design de Interfaces, Experiência do Usuário, IoT, Design de Interação, Emergência, Fabricação Digital e Design social.",19-09-2022,,https://orcid.org/0000-0003-0143-0371
Boas práticas de projeto para a criação de livros mais sustentáveis,2017,Português,Marca Visual,"['Yvana Oliveira de Alencastro', 'Luiz Alberto do Canto Piveta', 'Jocelise Jacques de Jacques', 'Tânia Luisa Koltermann da Silva', 'Fábio Pinto da Silva']","['1', '2', '3', '4', '5']",['1'],5293927608955859,Yvana Oliveira de Alencastro,Alencastro,"ALENCASTRO, Y. O.;ALENCASTRO, YVANA OLIVEIRA",Recife,PE,"Mestre em DESIGN E TECNOLOGIA na Universidade Federal do Rio Grande do Sul. Possui duas pós-graduações Latto Senso. Especialização em DESIGN DE INTERAÇÃO E INTERFACE PARA DISPOSITIVOS realizado no Centro de Estudos e Sistemas Avançados do Recife, CESAR, Brasil. MBA em Marketing realizado na Universidade de Pernambuco. Possui graduação em DESIGN pela Universidade Federal de Pernambuco (2006). Tem experiência na área de Desenho Industrial, com ênfase em Programação Visual, atuando principalmente nas seguintes áreas: design editorial, memória gráfica, tipografia, moderno, marcas e pós-moderno.",05-07-2021,,
"Faça-se a si mesmo A construção do autoaprendizado sob a perspectiva da cultura maker, da ética hacker e do método Montessori",2018,Português,Cirkula,"['Yvana Oliveira de Alencastro', 'Nilson Valdevino Soares']","['1', '2']",['1'],5293927608955859,Yvana Oliveira de Alencastro,Alencastro,"ALENCASTRO, Y. O.;ALENCASTRO, YVANA OLIVEIRA",Recife,PE,"Mestre em DESIGN E TECNOLOGIA na Universidade Federal do Rio Grande do Sul. Possui duas pós-graduações Latto Senso. Especialização em DESIGN DE INTERAÇÃO E INTERFACE PARA DISPOSITIVOS realizado no Centro de Estudos e Sistemas Avançados do Recife, CESAR, Brasil. MBA em Marketing realizado na Universidade de Pernambuco. Possui graduação em DESIGN pela Universidade Federal de Pernambuco (2006). Tem experiência na área de Desenho Industrial, com ênfase em Programação Visual, atuando principalmente nas seguintes áreas: design editorial, memória gráfica, tipografia, moderno, marcas e pós-moderno.",05-07-2021,,
