TITULO,ANO,ENTIDADE_PROMOTORA,ID,FULL_NAME,LAST_NAME,CITADO,CITY,STATE,RESUME,UPDATE,ADDRESS_ENTERP,ORCID
Menção Honrosa: Prêmio de Melhor Vídeo no XIV FestCine - Festival de Vídeo de Pernambuco,2012,Fundação do Patrimônio Histórico e Artístico de Pernambuco,0113326674939174,Cristiana Leal de Lacerda Pires,Pires,"PIRES, C. L. L.",Recife,PE,"Doutoranda em Ciência da Computação (CIn-UFPE 2023), mestra em Design na linha Artefatos Digitais (UFPE 2019), graduada em Desenho Industrial com habilitação em Projeto do Produto (UFPE 2008). Atua há 15 anos na área de Desenvolvimento de Novos Produtos (NPD) e elaboração de projetos de P&amp;D de inovação tecnológica e industrial com foco na pesquisa aplicada, captação de recursos e propriedade intelectual. Pesquisadora de abordagens de design colaborativo e transdisciplinar em hackathons, com ênfase em metathons (hackathons do metaverso) e pensamento ciborgue, é também Analista Educacional Sênior no CESAR - Centro de Estudos e Sistemas Avançados do Recife, atuando no desenvolvimento de produtos e soluções educacionais para instituições de ensino, centros de pesquisa, núcleos de inovação e iniciativa privada. Ainda, é sócia e conselheira do Fab Lab Recife, responsável pela cooperação internacional e gestão do conhecimento em PD&amp;I com uso de tecnologias de fabricação digital na interface Academia-Mercado, além de de community connector da Singularity University no Recife chapter, e docente visitante da especialização em Tecnologias do Design na UNICAP ICAM-Tech International School. Em 2018 e 2019 foi finalista do Creative Learning Challenge Brazil, promovido pelo MIT Media Lab com o apoio da Fundação Lemann.",28-09-2022,,https://orcid.org/0000-0003-4581-6225
Melhor Prática Urbana no Brasil à Makeathon Fab City,2017,Conselho de Arquitetura e Urbanismo de Permabuco,0113326674939174,Cristiana Leal de Lacerda Pires,Pires,"PIRES, C. L. L.",Recife,PE,"Doutoranda em Ciência da Computação (CIn-UFPE 2023), mestra em Design na linha Artefatos Digitais (UFPE 2019), graduada em Desenho Industrial com habilitação em Projeto do Produto (UFPE 2008). Atua há 15 anos na área de Desenvolvimento de Novos Produtos (NPD) e elaboração de projetos de P&amp;D de inovação tecnológica e industrial com foco na pesquisa aplicada, captação de recursos e propriedade intelectual. Pesquisadora de abordagens de design colaborativo e transdisciplinar em hackathons, com ênfase em metathons (hackathons do metaverso) e pensamento ciborgue, é também Analista Educacional Sênior no CESAR - Centro de Estudos e Sistemas Avançados do Recife, atuando no desenvolvimento de produtos e soluções educacionais para instituições de ensino, centros de pesquisa, núcleos de inovação e iniciativa privada. Ainda, é sócia e conselheira do Fab Lab Recife, responsável pela cooperação internacional e gestão do conhecimento em PD&amp;I com uso de tecnologias de fabricação digital na interface Academia-Mercado, além de de community connector da Singularity University no Recife chapter, e docente visitante da especialização em Tecnologias do Design na UNICAP ICAM-Tech International School. Em 2018 e 2019 foi finalista do Creative Learning Challenge Brazil, promovido pelo MIT Media Lab com o apoio da Fundação Lemann.",28-09-2022,,https://orcid.org/0000-0003-4581-6225
Voto de Aplauso ao Projeto Pedeluz,2017,Câmara Municipal do Recife,0113326674939174,Cristiana Leal de Lacerda Pires,Pires,"PIRES, C. L. L.",Recife,PE,"Doutoranda em Ciência da Computação (CIn-UFPE 2023), mestra em Design na linha Artefatos Digitais (UFPE 2019), graduada em Desenho Industrial com habilitação em Projeto do Produto (UFPE 2008). Atua há 15 anos na área de Desenvolvimento de Novos Produtos (NPD) e elaboração de projetos de P&amp;D de inovação tecnológica e industrial com foco na pesquisa aplicada, captação de recursos e propriedade intelectual. Pesquisadora de abordagens de design colaborativo e transdisciplinar em hackathons, com ênfase em metathons (hackathons do metaverso) e pensamento ciborgue, é também Analista Educacional Sênior no CESAR - Centro de Estudos e Sistemas Avançados do Recife, atuando no desenvolvimento de produtos e soluções educacionais para instituições de ensino, centros de pesquisa, núcleos de inovação e iniciativa privada. Ainda, é sócia e conselheira do Fab Lab Recife, responsável pela cooperação internacional e gestão do conhecimento em PD&amp;I com uso de tecnologias de fabricação digital na interface Academia-Mercado, além de de community connector da Singularity University no Recife chapter, e docente visitante da especialização em Tecnologias do Design na UNICAP ICAM-Tech International School. Em 2018 e 2019 foi finalista do Creative Learning Challenge Brazil, promovido pelo MIT Media Lab com o apoio da Fundação Lemann.",28-09-2022,,https://orcid.org/0000-0003-4581-6225
Finalista do Creative Learning Challenge 2018,2018,MIT Media Lab,0113326674939174,Cristiana Leal de Lacerda Pires,Pires,"PIRES, C. L. L.",Recife,PE,"Doutoranda em Ciência da Computação (CIn-UFPE 2023), mestra em Design na linha Artefatos Digitais (UFPE 2019), graduada em Desenho Industrial com habilitação em Projeto do Produto (UFPE 2008). Atua há 15 anos na área de Desenvolvimento de Novos Produtos (NPD) e elaboração de projetos de P&amp;D de inovação tecnológica e industrial com foco na pesquisa aplicada, captação de recursos e propriedade intelectual. Pesquisadora de abordagens de design colaborativo e transdisciplinar em hackathons, com ênfase em metathons (hackathons do metaverso) e pensamento ciborgue, é também Analista Educacional Sênior no CESAR - Centro de Estudos e Sistemas Avançados do Recife, atuando no desenvolvimento de produtos e soluções educacionais para instituições de ensino, centros de pesquisa, núcleos de inovação e iniciativa privada. Ainda, é sócia e conselheira do Fab Lab Recife, responsável pela cooperação internacional e gestão do conhecimento em PD&amp;I com uso de tecnologias de fabricação digital na interface Academia-Mercado, além de de community connector da Singularity University no Recife chapter, e docente visitante da especialização em Tecnologias do Design na UNICAP ICAM-Tech International School. Em 2018 e 2019 foi finalista do Creative Learning Challenge Brazil, promovido pelo MIT Media Lab com o apoio da Fundação Lemann.",28-09-2022,,https://orcid.org/0000-0003-4581-6225
Finalista do Creative Learning Challenge 2019,2019,MIT Media Lab,0113326674939174,Cristiana Leal de Lacerda Pires,Pires,"PIRES, C. L. L.",Recife,PE,"Doutoranda em Ciência da Computação (CIn-UFPE 2023), mestra em Design na linha Artefatos Digitais (UFPE 2019), graduada em Desenho Industrial com habilitação em Projeto do Produto (UFPE 2008). Atua há 15 anos na área de Desenvolvimento de Novos Produtos (NPD) e elaboração de projetos de P&amp;D de inovação tecnológica e industrial com foco na pesquisa aplicada, captação de recursos e propriedade intelectual. Pesquisadora de abordagens de design colaborativo e transdisciplinar em hackathons, com ênfase em metathons (hackathons do metaverso) e pensamento ciborgue, é também Analista Educacional Sênior no CESAR - Centro de Estudos e Sistemas Avançados do Recife, atuando no desenvolvimento de produtos e soluções educacionais para instituições de ensino, centros de pesquisa, núcleos de inovação e iniciativa privada. Ainda, é sócia e conselheira do Fab Lab Recife, responsável pela cooperação internacional e gestão do conhecimento em PD&amp;I com uso de tecnologias de fabricação digital na interface Academia-Mercado, além de de community connector da Singularity University no Recife chapter, e docente visitante da especialização em Tecnologias do Design na UNICAP ICAM-Tech International School. Em 2018 e 2019 foi finalista do Creative Learning Challenge Brazil, promovido pelo MIT Media Lab com o apoio da Fundação Lemann.",28-09-2022,,https://orcid.org/0000-0003-4581-6225
Concurso Nacional Vivo Downloads - Categoria Vivo Idéia,2004,VIVO,0266043277510432,Tiago Guedes Ferreira Barros,Barros,"BARROS, T.;BARROS, TIAGO;BARROS, T. G. F.;BARROS, TIAGO G. F.",Recife,PE,"Tiago Barros é o Engenheiro Chefe de IoT no CESAR, responsável pela coordenação do Grupo de Pesquisa em IoT e por projetar e implementar a meta-plataforma KNoT Network of Things. Tiago é o representante do CESAR na Comissão Brasileira de Comunicações (CBC 3) da ANATEL que lida com a padronização das telecomunicações no Brasil, sendo responsável por redigir recomendações para a Comissão de Estudos 20 da ITU-T que trata de Internet das Coisas, comunidades e cidades inteligentes. Tiago Barros também é professor convidado do curso de pós-graduação em arquitetura de software para dispositivos móveis da UFPE / CIn / Motorola há mais de 15 anos. Ele também leciona disciplinas de prototipação eletrônica nos cursos de Ciência da Computação e Mestrado em Design no CESAR e na UFPE desde 2009. Em 2016, Tiago começou uma das primeiras especializações em IoT do país, na CESAR.School, sendo o coordenador responsável por definir toda a parte pedagógica, disciplinas e conteúdos do curso. Tiago possui mestrado em Ciência da Computação (UFPE-2007), B.Sc. em Ciência da Computação (UFPE-2003) e Técnico em Eletrônica (ETFPE-1998), com mais de 24 anos de experiência em desenvolvimento de software, com ênfase em Internet das Coisas, sistemas embarcados de tempo real, arquitetura de software e protocolos de comunicação.",16-09-2022,Centro de Estudos e Sistemas Avançados do Recife,
Senior Member,2019,IEEE,0266043277510432,Tiago Guedes Ferreira Barros,Barros,"BARROS, T.;BARROS, TIAGO;BARROS, T. G. F.;BARROS, TIAGO G. F.",Recife,PE,"Tiago Barros é o Engenheiro Chefe de IoT no CESAR, responsável pela coordenação do Grupo de Pesquisa em IoT e por projetar e implementar a meta-plataforma KNoT Network of Things. Tiago é o representante do CESAR na Comissão Brasileira de Comunicações (CBC 3) da ANATEL que lida com a padronização das telecomunicações no Brasil, sendo responsável por redigir recomendações para a Comissão de Estudos 20 da ITU-T que trata de Internet das Coisas, comunidades e cidades inteligentes. Tiago Barros também é professor convidado do curso de pós-graduação em arquitetura de software para dispositivos móveis da UFPE / CIn / Motorola há mais de 15 anos. Ele também leciona disciplinas de prototipação eletrônica nos cursos de Ciência da Computação e Mestrado em Design no CESAR e na UFPE desde 2009. Em 2016, Tiago começou uma das primeiras especializações em IoT do país, na CESAR.School, sendo o coordenador responsável por definir toda a parte pedagógica, disciplinas e conteúdos do curso. Tiago possui mestrado em Ciência da Computação (UFPE-2007), B.Sc. em Ciência da Computação (UFPE-2003) e Técnico em Eletrônica (ETFPE-1998), com mais de 24 anos de experiência em desenvolvimento de software, com ênfase em Internet das Coisas, sistemas embarcados de tempo real, arquitetura de software e protocolos de comunicação.",16-09-2022,Centro de Estudos e Sistemas Avançados do Recife,
Bolsa de Pós Graduação [Mestrado],2009,CNPq,0342261677880699,Tatalina Cristina Silva de Oliveira,Oliveira,"OLIVEIRA, T. C. S.",Recife,PE,"Inquieta, criativa e comunicativa. Aficionada por esportes, adrenalina e arte. Observadora nata de pessoas e suas formas de consumo, o que me leva à paixão pelos estudos de tendência de comportamento (trendhunter). Designer de formação, com uma trajetória profissional que me levou à moda e antropologia, docência, palestras e consultorias. Experiente em gerir projetos, grupos, elaborar parcerias entre instituições e desenvolver pesquisas que envolvam diversidade e inclusão.  Interesse por inovação, moda e sua relação com gênero, negritude e questões socioculturais,bem como com memória gráfica, história da arte e do design, estudos de consumo, com foco em cultura material.&amp;#10;&amp;#10;Doutorado  (2018) e Mestrado (2010) em Design pelo Programa de pós-graduação em Design da UFPE (2018).Especialização (2011) em Antropologia Social e Cultural pelo Instituto de Ciências Sociais da Universidade de Lisboa - Portugal  (ICS-UL). Graduada pelo Centro Federal de Educação Tecnológica de Pernambuco (2006) no Curso Superior de Tecnologia em Design Gráfico.",29-11-2022,,
Aprovação e Classificação [2º lugar]  em Concurso Público para Professor Efetivo - Edital 136/2011 - Perfil: Design Gráfico,2011,"IFPB -  Instituto Federal de Educação, Ciência e Tecnologia da Paraíba",0342261677880699,Tatalina Cristina Silva de Oliveira,Oliveira,"OLIVEIRA, T. C. S.",Recife,PE,"Inquieta, criativa e comunicativa. Aficionada por esportes, adrenalina e arte. Observadora nata de pessoas e suas formas de consumo, o que me leva à paixão pelos estudos de tendência de comportamento (trendhunter). Designer de formação, com uma trajetória profissional que me levou à moda e antropologia, docência, palestras e consultorias. Experiente em gerir projetos, grupos, elaborar parcerias entre instituições e desenvolver pesquisas que envolvam diversidade e inclusão.  Interesse por inovação, moda e sua relação com gênero, negritude e questões socioculturais,bem como com memória gráfica, história da arte e do design, estudos de consumo, com foco em cultura material.&amp;#10;&amp;#10;Doutorado  (2018) e Mestrado (2010) em Design pelo Programa de pós-graduação em Design da UFPE (2018).Especialização (2011) em Antropologia Social e Cultural pelo Instituto de Ciências Sociais da Universidade de Lisboa - Portugal  (ICS-UL). Graduada pelo Centro Federal de Educação Tecnológica de Pernambuco (2006) no Curso Superior de Tecnologia em Design Gráfico.",29-11-2022,,
Aprovação e Classificação [2º lugar] em Concurso Público para Professor Efetivo Assistente - Edital 012/2013 -  Matéria: Design e Sociedade,2013,UFS - Universidade Federal de Sergipe,0342261677880699,Tatalina Cristina Silva de Oliveira,Oliveira,"OLIVEIRA, T. C. S.",Recife,PE,"Inquieta, criativa e comunicativa. Aficionada por esportes, adrenalina e arte. Observadora nata de pessoas e suas formas de consumo, o que me leva à paixão pelos estudos de tendência de comportamento (trendhunter). Designer de formação, com uma trajetória profissional que me levou à moda e antropologia, docência, palestras e consultorias. Experiente em gerir projetos, grupos, elaborar parcerias entre instituições e desenvolver pesquisas que envolvam diversidade e inclusão.  Interesse por inovação, moda e sua relação com gênero, negritude e questões socioculturais,bem como com memória gráfica, história da arte e do design, estudos de consumo, com foco em cultura material.&amp;#10;&amp;#10;Doutorado  (2018) e Mestrado (2010) em Design pelo Programa de pós-graduação em Design da UFPE (2018).Especialização (2011) em Antropologia Social e Cultural pelo Instituto de Ciências Sociais da Universidade de Lisboa - Portugal  (ICS-UL). Graduada pelo Centro Federal de Educação Tecnológica de Pernambuco (2006) no Curso Superior de Tecnologia em Design Gráfico.",29-11-2022,,
