PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA,ID,FULL_NAME,LAST_NAME,CITADO,CITY,STATE,RESUME,UPDATE,ADDRESS_ENTERP,ORCID,OR
"Banco de Cola de Fibrina Obtida pela Tecnologia TissueBond 2BCS: Sistematização da Captação, Processamento, Armazenamento, Distribuição e Uso Clínico.",2011,2012,DESENVOLVIMENTO,"['Cristiana Leal de Lacerda Pires', 'Teilhard Rodrigues Barros', 'Veridiana Sales Barbosa de Souza', 'Melissa Papaléo Rocha de Lima', 'José Odinilson de Caldas Brandão', 'Nathália N. T. Holderbaum', 'Ana Paula Lima Pacheco']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']",0113326674939174,Cristiana Leal de Lacerda Pires,Pires,"PIRES, C. L. L.",Recife,PE,"Doutoranda em Ciência da Computação (CIn-UFPE 2023), mestra em Design na linha Artefatos Digitais (UFPE 2019), graduada em Desenho Industrial com habilitação em Projeto do Produto (UFPE 2008). Atua há 15 anos na área de Desenvolvimento de Novos Produtos (NPD) e elaboração de projetos de P&amp;D de inovação tecnológica e industrial com foco na pesquisa aplicada, captação de recursos e propriedade intelectual. Pesquisadora de abordagens de design colaborativo e transdisciplinar em hackathons, com ênfase em metathons (hackathons do metaverso) e pensamento ciborgue, é também Analista Educacional Sênior no CESAR - Centro de Estudos e Sistemas Avançados do Recife, atuando no desenvolvimento de produtos e soluções educacionais para instituições de ensino, centros de pesquisa, núcleos de inovação e iniciativa privada. Ainda, é sócia e conselheira do Fab Lab Recife, responsável pela cooperação internacional e gestão do conhecimento em PD&amp;I com uso de tecnologias de fabricação digital na interface Academia-Mercado, além de de community connector da Singularity University no Recife chapter, e docente visitante da especialização em Tecnologias do Design na UNICAP ICAM-Tech International School. Em 2018 e 2019 foi finalista do Creative Learning Challenge Brazil, promovido pelo MIT Media Lab com o apoio da Fundação Lemann.",28-09-2022,,https://orcid.org/0000-0003-4581-6225,1
MASSAYO,2009,2011,PESQUISA,"['Rafael Ferreira Leite de Mello', 'Ig Ibert Bittencourt']","['NAO', 'SIM']",6190254569597745,Rafael Ferreira Leite de Mello,Mello,"Rafael Ferreira;Ferreira, Rafael;Rafael Mello;RAFAEL MELLO;MELLO, RAFAEL FE;FERREIRA'MELLO, RAFAEL;MELLO, RAFAEL FERREIRA;Ferreira Mello, Rafael;Rafael Ferreira Mello;MELLO, RAFAEL FERREIRA LEITE DE;MELLO, RAFAEL;FERREIRAMELLO, RAFAEL;MELLO, RAFAEL F. L.",Arapiraca,AL,"Rafael Ferreira Mello é doutor em ciência da computação com interesses de pesquisa que abrangem processamento de linguagem natural, learning analytics e tecnologia educacional. Ele é professor na Universidade Federal Rural de Pernambuco e no Cesar School, no Brasil, onde é um dos coordenadores do Laboratório de Inteligência Artificial (https://aiboxlab.org/), que desenvolve várias iniciativas relacionadas a learning analytics (LA). Dr. Mello realizou pós-doutorado na Escola de Informática da Universidade de Edimburgo em 2018, onde continua a ter colaborações. Ele trabalha em vários projetos de pesquisa multinacionais, que envolvem parceiros acadêmicos e empresas na Europa, Austrália, Estados Unidos e América Latina. A experiência anterior do Dr. Mello também inclui um projeto de pesquisa financiado pela Hewlett-Packard, onde atuou como líder técnico. Um tema-chave de sua pesquisa recente tem sido o uso do processamento de linguagem natural aplicados como educação e temas mais focados em análise de textos como sumarização e classificação.",08-01-2023,Universidade Federal Rural de Pernambuco,https://orcid.org/0000-0003-3548-9670,1
Modelos de Recuperação de Informaçao na Blogosfera,2009,2010,PESQUISA,"['Rafael Ferreira Leite de Mello', 'Pedro Bispo da Silva Santos', 'Evandro de Barros Costa', 'Henrique Pacca Loureiro Luna']","['NAO', 'NAO', 'NAO', 'SIM']",6190254569597745,Rafael Ferreira Leite de Mello,Mello,"Rafael Ferreira;Ferreira, Rafael;Rafael Mello;RAFAEL MELLO;MELLO, RAFAEL FE;FERREIRA'MELLO, RAFAEL;MELLO, RAFAEL FERREIRA;Ferreira Mello, Rafael;Rafael Ferreira Mello;MELLO, RAFAEL FERREIRA LEITE DE;MELLO, RAFAEL;FERREIRAMELLO, RAFAEL;MELLO, RAFAEL F. L.",Arapiraca,AL,"Rafael Ferreira Mello é doutor em ciência da computação com interesses de pesquisa que abrangem processamento de linguagem natural, learning analytics e tecnologia educacional. Ele é professor na Universidade Federal Rural de Pernambuco e no Cesar School, no Brasil, onde é um dos coordenadores do Laboratório de Inteligência Artificial (https://aiboxlab.org/), que desenvolve várias iniciativas relacionadas a learning analytics (LA). Dr. Mello realizou pós-doutorado na Escola de Informática da Universidade de Edimburgo em 2018, onde continua a ter colaborações. Ele trabalha em vários projetos de pesquisa multinacionais, que envolvem parceiros acadêmicos e empresas na Europa, Austrália, Estados Unidos e América Latina. A experiência anterior do Dr. Mello também inclui um projeto de pesquisa financiado pela Hewlett-Packard, onde atuou como líder técnico. Um tema-chave de sua pesquisa recente tem sido o uso do processamento de linguagem natural aplicados como educação e temas mais focados em análise de textos como sumarização e classificação.",08-01-2023,Universidade Federal Rural de Pernambuco,https://orcid.org/0000-0003-3548-9670,1
Estruturação de Ferramentas com Suporte a VideoConferência na Internet,2008,2009,PESQUISA,"['Rafael Ferreira Leite de Mello', 'Pedro Bispo da Silva Santos', 'Evandro Costa', 'Henrique Pacca Loureiro Luna']","['NAO', 'NAO', 'NAO', 'SIM']",6190254569597745,Rafael Ferreira Leite de Mello,Mello,"Rafael Ferreira;Ferreira, Rafael;Rafael Mello;RAFAEL MELLO;MELLO, RAFAEL FE;FERREIRA'MELLO, RAFAEL;MELLO, RAFAEL FERREIRA;Ferreira Mello, Rafael;Rafael Ferreira Mello;MELLO, RAFAEL FERREIRA LEITE DE;MELLO, RAFAEL;FERREIRAMELLO, RAFAEL;MELLO, RAFAEL F. L.",Arapiraca,AL,"Rafael Ferreira Mello é doutor em ciência da computação com interesses de pesquisa que abrangem processamento de linguagem natural, learning analytics e tecnologia educacional. Ele é professor na Universidade Federal Rural de Pernambuco e no Cesar School, no Brasil, onde é um dos coordenadores do Laboratório de Inteligência Artificial (https://aiboxlab.org/), que desenvolve várias iniciativas relacionadas a learning analytics (LA). Dr. Mello realizou pós-doutorado na Escola de Informática da Universidade de Edimburgo em 2018, onde continua a ter colaborações. Ele trabalha em vários projetos de pesquisa multinacionais, que envolvem parceiros acadêmicos e empresas na Europa, Austrália, Estados Unidos e América Latina. A experiência anterior do Dr. Mello também inclui um projeto de pesquisa financiado pela Hewlett-Packard, onde atuou como líder técnico. Um tema-chave de sua pesquisa recente tem sido o uso do processamento de linguagem natural aplicados como educação e temas mais focados em análise de textos como sumarização e classificação.",08-01-2023,Universidade Federal Rural de Pernambuco,https://orcid.org/0000-0003-3548-9670,1
BlogSpread: Perceiving the meme phenomenom by visualising the blogsphere semantically,2008,2012,PESQUISA,"['Rafael Ferreira Leite de Mello', 'Marlos Silva', 'Ig Ibert Bittencourt', 'Evandro Costa', 'Henrique Pacca Loureiro Luna']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO']",6190254569597745,Rafael Ferreira Leite de Mello,Mello,"Rafael Ferreira;Ferreira, Rafael;Rafael Mello;RAFAEL MELLO;MELLO, RAFAEL FE;FERREIRA'MELLO, RAFAEL;MELLO, RAFAEL FERREIRA;Ferreira Mello, Rafael;Rafael Ferreira Mello;MELLO, RAFAEL FERREIRA LEITE DE;MELLO, RAFAEL;FERREIRAMELLO, RAFAEL;MELLO, RAFAEL F. L.",Arapiraca,AL,"Rafael Ferreira Mello é doutor em ciência da computação com interesses de pesquisa que abrangem processamento de linguagem natural, learning analytics e tecnologia educacional. Ele é professor na Universidade Federal Rural de Pernambuco e no Cesar School, no Brasil, onde é um dos coordenadores do Laboratório de Inteligência Artificial (https://aiboxlab.org/), que desenvolve várias iniciativas relacionadas a learning analytics (LA). Dr. Mello realizou pós-doutorado na Escola de Informática da Universidade de Edimburgo em 2018, onde continua a ter colaborações. Ele trabalha em vários projetos de pesquisa multinacionais, que envolvem parceiros acadêmicos e empresas na Europa, Austrália, Estados Unidos e América Latina. A experiência anterior do Dr. Mello também inclui um projeto de pesquisa financiado pela Hewlett-Packard, onde atuou como líder técnico. Um tema-chave de sua pesquisa recente tem sido o uso do processamento de linguagem natural aplicados como educação e temas mais focados em análise de textos como sumarização e classificação.",08-01-2023,Universidade Federal Rural de Pernambuco,https://orcid.org/0000-0003-3548-9670,1
"Plataforma +PNE e TC Educa: Integrando Dados Conectados, Inteligência Artificial e Análise de Dados",2021,ATUAL,DESENVOLVIMENTO,"['Rafael Ferreira Leite de Mello', 'Ig Ibert', 'Seiji Isotani', 'André Câmara', 'Gabriel Alves', 'Taciana Pontual da Rocha Falcão', 'Péricles B. C. de Miranda', 'Ibsen Mateus Bittencourt Santana Pinto']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']",6190254569597745,Rafael Ferreira Leite de Mello,Mello,"Rafael Ferreira;Ferreira, Rafael;Rafael Mello;RAFAEL MELLO;MELLO, RAFAEL FE;FERREIRA'MELLO, RAFAEL;MELLO, RAFAEL FERREIRA;Ferreira Mello, Rafael;Rafael Ferreira Mello;MELLO, RAFAEL FERREIRA LEITE DE;MELLO, RAFAEL;FERREIRAMELLO, RAFAEL;MELLO, RAFAEL F. L.",Arapiraca,AL,"Rafael Ferreira Mello é doutor em ciência da computação com interesses de pesquisa que abrangem processamento de linguagem natural, learning analytics e tecnologia educacional. Ele é professor na Universidade Federal Rural de Pernambuco e no Cesar School, no Brasil, onde é um dos coordenadores do Laboratório de Inteligência Artificial (https://aiboxlab.org/), que desenvolve várias iniciativas relacionadas a learning analytics (LA). Dr. Mello realizou pós-doutorado na Escola de Informática da Universidade de Edimburgo em 2018, onde continua a ter colaborações. Ele trabalha em vários projetos de pesquisa multinacionais, que envolvem parceiros acadêmicos e empresas na Europa, Austrália, Estados Unidos e América Latina. A experiência anterior do Dr. Mello também inclui um projeto de pesquisa financiado pela Hewlett-Packard, onde atuou como líder técnico. Um tema-chave de sua pesquisa recente tem sido o uso do processamento de linguagem natural aplicados como educação e temas mais focados em análise de textos como sumarização e classificação.",08-01-2023,Universidade Federal Rural de Pernambuco,https://orcid.org/0000-0003-3548-9670,1
ArCo - Arcabouço de Comunidades,2003,2008,DESENVOLVIMENTO,"['Rafael Ferreira Leite de Mello', 'Evandro Costa']","['NAO', 'SIM']",6190254569597745,Rafael Ferreira Leite de Mello,Mello,"Rafael Ferreira;Ferreira, Rafael;Rafael Mello;RAFAEL MELLO;MELLO, RAFAEL FE;FERREIRA'MELLO, RAFAEL;MELLO, RAFAEL FERREIRA;Ferreira Mello, Rafael;Rafael Ferreira Mello;MELLO, RAFAEL FERREIRA LEITE DE;MELLO, RAFAEL;FERREIRAMELLO, RAFAEL;MELLO, RAFAEL F. L.",Arapiraca,AL,"Rafael Ferreira Mello é doutor em ciência da computação com interesses de pesquisa que abrangem processamento de linguagem natural, learning analytics e tecnologia educacional. Ele é professor na Universidade Federal Rural de Pernambuco e no Cesar School, no Brasil, onde é um dos coordenadores do Laboratório de Inteligência Artificial (https://aiboxlab.org/), que desenvolve várias iniciativas relacionadas a learning analytics (LA). Dr. Mello realizou pós-doutorado na Escola de Informática da Universidade de Edimburgo em 2018, onde continua a ter colaborações. Ele trabalha em vários projetos de pesquisa multinacionais, que envolvem parceiros acadêmicos e empresas na Europa, Austrália, Estados Unidos e América Latina. A experiência anterior do Dr. Mello também inclui um projeto de pesquisa financiado pela Hewlett-Packard, onde atuou como líder técnico. Um tema-chave de sua pesquisa recente tem sido o uso do processamento de linguagem natural aplicados como educação e temas mais focados em análise de textos como sumarização e classificação.",08-01-2023,Universidade Federal Rural de Pernambuco,https://orcid.org/0000-0003-3548-9670,1
Hewlett_Packard Functional Summarization,2014,2016,PESQUISA,"['Rafael Ferreira Leite de Mello', 'Rinaldo J. Lima', 'Fred Freitas', 'Hilário Oliveira', 'Luciano Cabral', 'Gabriel França', 'CAVALCANTI, GEORGE D.C.', 'BATISTA, JAMILSON', 'FERREIRA, RODOLFO', 'Rafael Dueire Lins']","['NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'SIM']",6190254569597745,Rafael Ferreira Leite de Mello,Mello,"Rafael Ferreira;Ferreira, Rafael;Rafael Mello;RAFAEL MELLO;MELLO, RAFAEL FE;FERREIRA'MELLO, RAFAEL;MELLO, RAFAEL FERREIRA;Ferreira Mello, Rafael;Rafael Ferreira Mello;MELLO, RAFAEL FERREIRA LEITE DE;MELLO, RAFAEL;FERREIRAMELLO, RAFAEL;MELLO, RAFAEL F. L.",Arapiraca,AL,"Rafael Ferreira Mello é doutor em ciência da computação com interesses de pesquisa que abrangem processamento de linguagem natural, learning analytics e tecnologia educacional. Ele é professor na Universidade Federal Rural de Pernambuco e no Cesar School, no Brasil, onde é um dos coordenadores do Laboratório de Inteligência Artificial (https://aiboxlab.org/), que desenvolve várias iniciativas relacionadas a learning analytics (LA). Dr. Mello realizou pós-doutorado na Escola de Informática da Universidade de Edimburgo em 2018, onde continua a ter colaborações. Ele trabalha em vários projetos de pesquisa multinacionais, que envolvem parceiros acadêmicos e empresas na Europa, Austrália, Estados Unidos e América Latina. A experiência anterior do Dr. Mello também inclui um projeto de pesquisa financiado pela Hewlett-Packard, onde atuou como líder técnico. Um tema-chave de sua pesquisa recente tem sido o uso do processamento de linguagem natural aplicados como educação e temas mais focados em análise de textos como sumarização e classificação.",08-01-2023,Universidade Federal Rural de Pernambuco,https://orcid.org/0000-0003-3548-9670,1
Hewlett_Packard Information Retrieval Friendly Text Analytics - IFRTA,2013,2014,PESQUISA,"['Rafael Ferreira Leite de Mello', 'Rinaldo J. Lima', 'Fred Freitas', 'Hilário Oliveira', 'Luciano Cabral', 'George Gomes Cabral', 'SILVA, GABRIEL', 'Rafael Dueire Lins']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']",6190254569597745,Rafael Ferreira Leite de Mello,Mello,"Rafael Ferreira;Ferreira, Rafael;Rafael Mello;RAFAEL MELLO;MELLO, RAFAEL FE;FERREIRA'MELLO, RAFAEL;MELLO, RAFAEL FERREIRA;Ferreira Mello, Rafael;Rafael Ferreira Mello;MELLO, RAFAEL FERREIRA LEITE DE;MELLO, RAFAEL;FERREIRAMELLO, RAFAEL;MELLO, RAFAEL F. L.",Arapiraca,AL,"Rafael Ferreira Mello é doutor em ciência da computação com interesses de pesquisa que abrangem processamento de linguagem natural, learning analytics e tecnologia educacional. Ele é professor na Universidade Federal Rural de Pernambuco e no Cesar School, no Brasil, onde é um dos coordenadores do Laboratório de Inteligência Artificial (https://aiboxlab.org/), que desenvolve várias iniciativas relacionadas a learning analytics (LA). Dr. Mello realizou pós-doutorado na Escola de Informática da Universidade de Edimburgo em 2018, onde continua a ter colaborações. Ele trabalha em vários projetos de pesquisa multinacionais, que envolvem parceiros acadêmicos e empresas na Europa, Austrália, Estados Unidos e América Latina. A experiência anterior do Dr. Mello também inclui um projeto de pesquisa financiado pela Hewlett-Packard, onde atuou como líder técnico. Um tema-chave de sua pesquisa recente tem sido o uso do processamento de linguagem natural aplicados como educação e temas mais focados em análise de textos como sumarização e classificação.",08-01-2023,Universidade Federal Rural de Pernambuco,https://orcid.org/0000-0003-3548-9670,1
A Olimpíada Brasileira de Informática na UFRPE ? OBI 2016,2015,2016,EXTENSAO,"['Rafael Ferreira Leite de Mello', 'Douglas Véras e Silva', 'Valmir Macário', 'André Câmara', 'Péricles Miranda']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']",6190254569597745,Rafael Ferreira Leite de Mello,Mello,"Rafael Ferreira;Ferreira, Rafael;Rafael Mello;RAFAEL MELLO;MELLO, RAFAEL FE;FERREIRA'MELLO, RAFAEL;MELLO, RAFAEL FERREIRA;Ferreira Mello, Rafael;Rafael Ferreira Mello;MELLO, RAFAEL FERREIRA LEITE DE;MELLO, RAFAEL;FERREIRAMELLO, RAFAEL;MELLO, RAFAEL F. L.",Arapiraca,AL,"Rafael Ferreira Mello é doutor em ciência da computação com interesses de pesquisa que abrangem processamento de linguagem natural, learning analytics e tecnologia educacional. Ele é professor na Universidade Federal Rural de Pernambuco e no Cesar School, no Brasil, onde é um dos coordenadores do Laboratório de Inteligência Artificial (https://aiboxlab.org/), que desenvolve várias iniciativas relacionadas a learning analytics (LA). Dr. Mello realizou pós-doutorado na Escola de Informática da Universidade de Edimburgo em 2018, onde continua a ter colaborações. Ele trabalha em vários projetos de pesquisa multinacionais, que envolvem parceiros acadêmicos e empresas na Europa, Austrália, Estados Unidos e América Latina. A experiência anterior do Dr. Mello também inclui um projeto de pesquisa financiado pela Hewlett-Packard, onde atuou como líder técnico. Um tema-chave de sua pesquisa recente tem sido o uso do processamento de linguagem natural aplicados como educação e temas mais focados em análise de textos como sumarização e classificação.",08-01-2023,Universidade Federal Rural de Pernambuco,https://orcid.org/0000-0003-3548-9670,1
